%time,field.data
1579093151773332232,5848199.91585
1579093151890244055,5848199.91585
1579093152003304211,5848199.91585
1579093152124443274,5848199.91585
1579093152233271398,5848199.91745
1579093152346515930,5848199.91745
1579093152461575409,5848199.91745
1579093152576479680,5848199.91745
1579093152704715721,5848199.91745
1579093152816270669,5848199.91745
1579093152931883482,5848199.91745
1579093153048519419,5848199.91745
1579093153163354159,5848199.91852
1579093153277812075,5848199.91852
1579093153392331606,5848199.91852
1579093153505814367,5848199.91852
1579093153620322231,5848199.91852
1579093153734947752,5848199.91852
1579093153845626971,5848199.91852
1579093153953880304,5848199.91852
1579093154066341867,5848199.91852
1579093154181159575,5848199.91906
1579093154294535564,5848199.91906
1579093154410239835,5848199.91906
1579093154523700616,5848199.91906
1579093154636507179,5848199.91906
1579093154752424470,5848199.91906
1579093154865915825,5848199.91906
1579093154980233116,5848199.91906
1579093155094524522,5848199.91906
1579093155209801189,5848199.92013
1579093155323952908,5848199.92013
1579093155440321085,5848199.92013
1579093155554269262,5848199.92013
1579093155667430043,5848199.92013
1579093155782293689,5848199.92013
1579093155896559574,5848199.92013
1579093156008968168,5848199.92013
1579093156121048064,5848199.92013
1579093156236908168,5848199.92119
1579093156357847751,5848199.92119
1579093156468839470,5848199.92119
1579093156577084626,5848199.92119
1579093156694690876,5848199.92119
1579093156806792803,5848199.92119
1579093156921782126,5848199.92119
1579093157042622074,5848199.92119
1579093157162869105,5848199.92119
1579093157262175042,5848199.92226
1579093157378406969,5848199.92226
1579093157478349886,5848199.92226
1579093157831326344,5848199.92226
1579093157831453063,5848199.92226
1579093157831582542,5848199.92226
1579093157934549990,5848199.92226
1579093158054770719,5848199.92226
1579093158167665302,5848199.92226
1579093158284138636,5848199.92494
1579093158391474209,5848199.92494
1579093158508577750,5848199.92494
1579093158620494677,5848199.92494
1579093158734472021,5848199.92494
1579093158861306604,5848199.92494
1579093158975614521,5848199.92494
1579093159090800094,5848199.92494
1579093159206059260,5848200.81857
1579093159323648219,5848200.81857
1579093159430022229,5848200.81857
1579093159553132073,5848200.81857
1579093159660554937,5848200.81857
1579093159778640875,5848200.81857
1579093159890301396,5848200.81857
1579093160004532385,5848200.81857
1579093160123449000,5848200.81857
1579093160240230510,5848201.26725
1579093160347201968,5848201.26725
1579093160464217854,5848201.26725
1579093160580715718,5848201.26725
1579093160694628166,5848201.26725
1579093160801182906,5848201.26725
1579093160914044364,5848201.26725
1579093161028182801,5848201.26725
1579093161141993635,5848201.26725
1579093161256790874,5848201.60524
1579093161366640301,5848201.60524
1579093161482795718,5848201.60524
1579093161596073062,5848201.60524
1579093161710267332,5848201.60524
1579093161824236551,5848201.60524
1579093161939126291,5848201.60524
1579093162052806707,5848201.60524
1579093162168558426,5848201.60524
1579093162281338582,5848202.50101
1579093162393202176,5848202.50101
1579093162508829728,5848202.50101
1579093162622088947,5848202.50101
1579093162735827176,5848202.50101
1579093162852480144,5848202.50101
1579093162974407749,5848202.50101
1579093163080880092,5848202.50101
1579093163195210717,5848202.50101
1579093163309661498,5848203.39785
1579093163424023790,5848203.39785
1579093163538462592,5848203.39785
1579093163650936342,5848203.39785
1579093163765551863,5848203.39785
1579093163879787071,5848203.39785
1579093163994099363,5848203.39785
1579093164108470717,5848203.39785
1579093164214140925,5848203.39785
1579093164331156550,5848204.18238
1579093164441415821,5848204.18238
1579093164556853685,5848204.18238
1579093164683841290,5848204.18238
1579093164798932696,5848204.18238
1579093164912148894,5848204.18238
1579093165027284206,5848204.18238
1579093165140999727,5848204.18238
1579093165255537487,5848204.63214
1579093165367672748,5848204.63214
1579093165485254883,5848204.63214
1579093165599610456,5848204.63214
1579093165712293268,5848204.63214
1579093165829229102,5848204.63214
1579093165942053633,5848204.63214
1579093166057701602,5848204.63214
1579093166168004362,5848204.63214
1579093166282890508,5848205.52684
1579093166398891862,5848205.52684
1579093166510116237,5848205.52684
1579093166625549622,5848205.52684
1579093166739534205,5848205.52684
1579093166854357226,5848205.52684
1579093166964561601,5848205.52684
1579093167079495664,5848205.52684
1579093167192643007,5848206.31244
1579093167307811861,5848206.31244
1579093167422873059,5848206.31244
1579093167538334570,5848206.31244
1579093167647111913,5848206.31244
1579093167762411184,5848206.31244
1579093167877686497,5848206.31244
1579093167991216705,5848206.31244
1579093168106097122,5848206.31244
1579093168221323632,5848206.76434
1579093168336610455,5848206.76434
1579093168451747746,5848206.76434
1579093168566433736,5848206.76434
1579093168680977798,5848206.76434
1579093168794814205,5848206.76434
1579093168909470298,5848206.76434
1579093169023619205,5848206.76434
1579093169138923892,5848206.76434
1579093169252310507,5848207.66064
1579093169369098163,5848207.66064
1579093169484692069,5848207.66064
1579093169610503006,5848207.66064
1579093169726864517,5848207.66064
1579093169842118840,5848207.66064
1579093169956915506,5848207.66064
1579093170073035402,5848207.66064
1579093170187231704,5848208.10773
1579093170303085246,5848208.10773
1579093170417560871,5848208.10773
1579093170533435610,5848208.10773
1579093170649787173,5848208.10773
1579093170762923110,5848208.10773
1579093170878055402,5848208.10773
1579093170988897068,5848208.10773
1579093171099365245,5848208.10773
1579093171212178162,5848208.44197
1579093171325392641,5848208.44197
1579093171440483422,5848208.44197
1579093171551600766,5848208.44197
1579093171664703318,5848208.44197
1579093171780381339,5848208.44197
1579093171893766443,5848208.44197
1579093172007059672,5848208.44197
1579093172119194828,5848208.44197
1579093172233199516,5848208.44143
1579093172347266964,5848208.44143
1579093172462931339,5848208.44143
1579093172576300818,5848208.44143
1579093172689954359,5848208.44143
1579093172802415922,5848208.44143
1579093172915562276,5848208.44143
1579093173030978474,5848208.44143
1579093173146163682,5848208.44143
1579093173257079672,5848208.44143
1579093173373728734,5848208.44143
1579093173490848057,5848208.44143
1579093173606082380,5848208.44143
1579093173718076442,5848208.44143
1579093173832459151,5848208.44143
1579093173948986911,5848208.44143
1579093174065424776,5848208.44143
1579093174180620296,5848208.44143
1579093174295354150,5848208.44197
1579093174409593109,5848208.44197
1579093174522598265,5848208.44197
1579093174649489255,5848208.44197
1579093174762376442,5848208.44197
1579093174876356546,5848208.44197
1579093174990475088,5848208.44197
1579093175104698994,5848208.44197
1579093175219774254,5848208.44143
1579093175333770973,5848208.44143
1579093175447732848,5848208.44143
1579093175561761962,5848208.44143
1579093175671806025,5848208.44143
1579093175791683577,5848208.44143
1579093175906139775,5848208.44143
1579093176020330504,5848208.44143
1579093176133114566,5848208.44143
1579093176247944150,5848208.44143
1579093176360385868,5848208.44143
1579093176474835608,5848208.44143
1579093176589466545,5848208.44143
1579093176704559306,5848208.44143
1579093176819484566,5848208.44143
1579093176933305972,5848208.44143
1579093177048186285,5848208.44143
1579093177163219983,5848208.44143
1579093177276480295,5848208.44143
1579093177394720191,5848208.44143
1579093177509152014,5848208.44143
1579093177624573524,5848208.44143
1579093177739672222,5848208.44143
1579093177851597587,5848208.44143
1579093177965095243,5848208.44143
1579093178073002430,5848208.44143
1579093178185260920,5848208.44143
1579093178300645347,5848208.4409
1579093178413901493,5848208.4409
1579093178527675659,5848208.4409
1579093178641555399,5848208.4409
1579093178754094565,5848208.4409
1579093178868022638,5848208.4409
1579093178982592326,5848208.4409
1579093179096987847,5848208.4409
1579093179213396701,5848208.4409
1579093179324619357,5848208.44036
1579093179438839149,5848208.44036
1579093179552142221,5848208.44036
1579093179667412742,5848208.44036
1579093179781853419,5848208.44036
1579093179897083055,5848208.44036
1579093180012010815,5848208.44036
1579093180136043888,5848208.44036
1579093180248680346,5848208.43983
1579093180362708679,5848208.43983
1579093180476341700,5848208.43983
1579093180592719825,5848208.43983
1579093180705631388,5848208.43983
1579093180819431127,5848208.43983
1579093180931727117,5848208.43983
1579093181046435815,5848208.43983
1579093181161120867,5848208.4393
1579093181274845294,5848208.4393
1579093181388968262,5848208.4393
1579093181494885971,5848208.4393
1579093181608474669,5848208.4393
1579093181723456543,5848208.4393
1579093181837202064,5848208.4393
1579093181949942898,5848208.4393
1579093182062123835,5848208.4393
1579093182177922429,5848208.88317
1579093182293420293,5848208.88317
1579093182408414564,5848208.88317
1579093182521690241,5848208.88317
1579093182637154147,5848208.88317
1579093182750517220,5848208.88317
1579093182862613939,5848208.88317
1579093182976079147,5848208.88317
1579093183090094408,5848208.88317
1579093183204415710,5848208.88317
1579093183318288105,5848208.88317
1579093183431553782,5848208.88317
1579093183548132012,5848208.88317
1579093183662489251,5848208.88317
1579093183777894824,5848208.88317
1579093183891018105,5848208.88317
1579093184005970918,5848208.88317
1579093184118555136,5848208.88317
1579093184232693157,5848208.88264
1579093184347219563,5848208.88264
1579093184460036230,5848208.88264
1579093184577282115,5848208.88264
1579093184687862688,5848208.88264
1579093184803408469,5848208.88264
1579093184910116646,5848208.88264
1579093185023300605,5848208.88264
1579093185136228626,5848208.88264
1579093185250692375,5848208.8821
1579093185376661073,5848208.8821
1579093185478886073,5848208.8821
1579093185593398573,5848208.8821
1579093185707236282,5848208.8821
1579093185822719771,5848208.8821
1579093185935778209,5848208.8821
1579093186049739511,5848208.8821
1579093186162783052,5848208.8821
1579093186278960708,5848208.88157
1579093186393439354,5848208.88157
1579093186518995187,5848208.88157
1579093186633298260,5848208.88157
1579093186748826437,5848208.88157
1579093186860522635,5848208.88157
1579093186975008416,5848208.88157
1579093187090660812,5848208.88157
1579093187203827687,5848208.88103
1579093187316647791,5848208.88103
1579093187431635239,5848208.88103
1579093187547075135,5848208.88103
1579093187661052843,5848208.88103
1579093187773300499,5848208.88103
1579093187888129093,5848208.88103
1579093188000593885,5848208.88103
1579093188113059718,5848208.88103
1579093188229482999,5848208.88103
1579093188335327791,5848208.88103
1579093188449749405,5848208.88103
1579093188567272843,5848208.88103
1579093188675066385,5848208.88103
1579093188789986020,5848208.88103
1579093188904243728,5848208.88103
1579093189018620655,5848208.88103
1579093189132757009,5848208.88103
1579093189244874874,5848208.88157
1579093189358658051,5848208.88157
1579093189472051749,5848208.88157
1579093189584756645,5848208.88157
1579093189700251853,5848208.88157
1579093189811931176,5848208.88157
1579093189925961332,5848208.88157
1579093190039597374,5848208.88157
1579093190156759197,5848208.88157
1579093190267300707,5848208.88103
1579093190382316332,5848208.88103
1579093190498566436,5848208.88103
1579093190619589978,5848208.88103
1579093190726284300,5848208.88103
1579093190845967477,5848208.88103
1579093190954732477,5848208.88103
1579093191069165082,5848208.88103
1579093191182937634,5848208.88103
1579093191296111279,5848208.88157
1579093191411264561,5848208.88157
1579093191526925081,5848208.88157
1579093191641554404,5848208.88157
1579093191747748675,5848208.88157
1579093191860958935,5848208.88157
1579093191975746696,5848208.88157
1579093192094918935,5848208.88157
1579093192282496487,5848208.88157
1579093192319813987,5848208.8821
1579093192431185758,5848208.8821
1579093192542534039,5848208.8821
1579093192657195029,5848208.8821
1579093192770994768,5848208.8821
1579093192886357164,5848208.8821
1579093193000001539,5848208.8821
1579093193125726227,5848208.8821
1579093193238675185,5848208.88264
1579093193353729456,5848208.88264
1579093193469432841,5848208.88264
1579093193582576851,5848208.88264
1579093193697399143,5848208.88264
1579093193810161174,5848208.88264
1579093193924418205,5848208.88264
1579093194039436747,5848208.88264
1579093194152827841,5848208.88264
1579093194266157476,5848208.88317
1579093194383654455,5848208.88317
1579093194496218674,5848208.88317
1579093194609671955,5848208.88317
1579093194720237632,5848208.88317
1579093194833765653,5848208.88317
1579093194946931851,5848208.88317
1579093195062848674,5848208.88317
1579093195174109924,5848208.88317
1579093195284296434,5848208.88371
1579093195403483465,5848208.88371
1579093195512207892,5848208.88371
1579093195626409715,5848208.88371
1579093195742015288,5848208.88371
1579093195880343257,5848208.88371
1579093195999680913,5848208.88371
1579093196113421798,5848208.88371
1579093196228352111,5848208.88424
