%time,field.data
1579093348954285230,332.0
1579093349061124917,332.0
1579093349170920334,332.0
1579093349284663355,332.0
1579093349400541792,331.0
1579093349511346167,331.0
1579093349619748563,331.0
1579093349736790490,331.0
1579093349845023771,332.0
1579093349958836167,334.0
1579093350070982365,334.0
1579093350183514188,334.0
1579093350289667833,334.0
1579093350400145542,334.0
1579093350511269448,331.0
1579093350634419760,332.0
1579093350752215854,338.0
1579093350859490541,333.0
1579093350961827989,339.0
1579093351079484864,343.0
1579093351183152208,339.0
1579093351297622573,336.0
1579093351407902729,331.0
1579093351516022000,340.0
1579093351631992260,336.0
1579093351743390541,338.0
1579093351863214031,333.0
1579093351971214291,335.0
1579093352083081895,332.0
1579093352194832208,320.0
1579093352307374708,319.0
1579093352415963718,317.0
1579093352528996999,320.0
1579093352639318614,326.0
1579093352756383770,330.0
1579093352867998405,329.0
1579093352979241374,326.0
1579093353090524499,324.0
1579093353203015645,324.0
1579093353314950645,324.0
1579093353426327728,326.0
1579093353538868874,334.0
1579093353646724342,333.0
1579093353752983092,329.0
1579093353863118457,329.0
1579093353974209238,327.0
1579093354094107780,321.0
1579093354316079134,322.0
1579093354316942571,318.0
1579093354419903144,322.0
1579093354527191217,326.0
1579093354655314863,319.0
1579093354752623352,328.0
1579093354868088509,329.0
1579093354978060019,323.0
1579093355085697832,330.0
1579093355219384915,325.0
1579093355317192623,330.0
1579093355423768925,330.0
1579093355538338248,333.0
1579093355645321321,336.0
1579093355759858144,333.0
1579093355870985279,336.0
1579093355980231373,348.0
1579093356088509342,344.0
1579093356204765123,343.0
1579093356310888716,339.0
1579093356425255175,344.0
1579093356539879706,349.0
1579093356651242154,352.0
1579093356758835904,346.0
1579093356875968716,345.0
1579093356983711685,349.0
1579093357095786372,348.0
1579093357211822570,347.0
1579093357318784549,351.0
1579093357423124758,348.0
1579093357538827414,338.0
1579093357646897153,332.0
1579093357755437726,342.0
1579093357870869341,347.0
1579093357985179705,352.0
1579093358094487414,355.0
1579093358206139028,356.0
1579093358324927466,352.0
1579093358427419549,344.0
1579093358542186841,343.0
1579093358653070799,333.0
1579093358764029028,343.0
1579093359370295382,351.0
1579093359373918038,355.0
1579093359386022934,354.0
1579093359386260278,359.0
1579093359386780382,350.0
1579093359436083872,348.0
1579093360569970850,352.0
1579093360570129652,357.0
1579093360583294809,358.0
1579093360583452048,5.0
1579093360583582100,3.0
1579093360583724756,356.0
1579093360586857413,358.0
1579093360589656111,13.0
1579093360589797621,18.0
1579093360589920954,21.0
1579093360653961579,24.0
1579093360768709913,17.0
1579093360885743715,16.0
1579093360987554444,22.0
1579093361099217517,17.0
1579093361214656735,15.0
1579093361323752933,9.0
1579093361433480381,6.0
1579093361546616110,7.0
1579093361655754600,7.0
1579093361774244860,10.0
1579093361884852985,18.0
1579093361993299912,23.0
1579093362103783245,27.0
1579093362212152725,28.0
1579093362327700745,24.0
1579093362438976787,20.0
1579093362551206318,21.0
1579093362662520224,22.0
1579093362775878454,24.0
1579093362883816839,24.0
1579093362996247099,32.0
1579093363114280693,39.0
1579093363220140797,39.0
1579093363347657151,40.0
1579093363449322776,40.0
1579093363558104964,42.0
1579093363674492568,38.0
1579093363786538141,39.0
1579093363894608297,36.0
1579093364002014026,44.0
1579093364443388713,40.0
1579093364443513245,41.0
1579093364445578193,36.0
1579093364445748036,44.0
1579093364557316213,45.0
1579093364674566057,39.0
1579093364789047619,27.0
1579093364887961942,31.0
1579093364997449078,35.0
1579093365109666526,38.0
1579093365222843244,44.0
1579093365331588192,68.0
1579093365457413713,64.0
1579093365814052671,60.0
1579093365828402411,74.0
1579093365828611786,52.0
1579093365895588504,62.0
1579093366003892359,61.0
1579093366116174286,50.0
1579093366232622359,57.0
1579093366345460119,58.0
1579093366459482098,69.0
1579093366572757827,76.0
1579093366685268660,74.0
1579093366800728556,73.0
1579093366909439129,77.0
1579093367022471264,79.0
1579093367138689702,82.0
1579093367252693504,66.0
1579093367359876056,75.0
1579093367483027306,61.0
1579093367582586160,60.0
1579093367693429129,74.0
1579093367807900431,68.0
1579093367918918764,61.0
1579093368029839754,58.0
1579093368143059129,72.0
1579093368254313764,69.0
1579093368368172670,76.0
1579093368474314753,76.0
1579093368589788399,77.0
1579093368700502097,78.0
1579093368816300066,82.0
1579093368930547410,82.0
1579093369043128243,72.0
1579093369155988659,72.0
1579093369264126472,80.0
1579093369375857878,85.0
1579093369491439441,88.0
1579093369604911732,84.0
1579093369718809024,86.0
1579093369827687045,102.0
1579093369946361940,91.0
1579093370055226107,106.0
1579093370168942357,123.0
1579093370280572826,101.0
1579093370392006315,115.0
1579093370506614128,111.0
1579093370619071003,113.0
1579093370730878034,110.0
1579093370843345482,117.0
1579093370953470325,122.0
1579093371061663867,119.0
1579093371176153450,114.0
1579093371287382617,120.0
1579093371401217773,112.0
1579093371515881419,129.0
1579093371623933711,136.0
1579093371738413658,136.0
1579093371852706158,115.0
1579093371966856679,131.0
1579093372075359908,105.0
1579093372190043502,108.0
1579093372314012044,105.0
1579093372418135689,102.0
1579093372531549231,119.0
1579093372641854700,117.0
1579093372766872721,124.0
1579093372869940689,129.0
1579093372982602460,113.0
1579093373097429856,113.0
1579093373210768710,125.0
1579093373324106679,132.0
1579093373439142668,127.0
1579093373552442772,120.0
1579093373659886418,111.0
1579093373773490429,105.0
1579093373890898241,110.0
1579093374006390012,118.0
1579093374111157980,111.0
1579093374222227928,110.0
1579093374335195637,104.0
1579093374442664126,106.0
1579093374552999282,107.0
1579093374664264543,110.0
1579093374780516939,106.0
1579093374888163449,102.0
1579093375001225428,122.0
1579093375115310636,128.0
1579093375225590793,127.0
1579093375337645688,103.0
1579093375449713449,125.0
1579093375564223917,142.0
1579093375676090167,144.0
1579093375788213865,144.0
1579093375901761782,168.0
1579093376019105219,153.0
1579093376119431001,142.0
1579093376231456469,118.0
1579093376346944386,154.0
1579093376455111261,165.0
1579093376569516573,161.0
1579093376682278396,170.0
1579093377014269802,170.0
1579093377020064490,181.0
1579093377034441469,177.0
1579093377126052354,160.0
1579093377237274594,179.0
1579093377359195479,191.0
1579093377462483760,199.0
1579093377578445167,182.0
1579093377689255896,180.0
1579093377809325427,206.0
1579093377910467614,184.0
1579093378017376677,177.0
1579093378134038500,199.0
1579093378250700062,191.0
1579093378352146677,205.0
1579093378464253916,183.0
1579093378579074645,182.0
1579093378690392927,191.0
1579093378805950479,202.0
1579093378912637458,201.0
1579093379028224072,195.0
1579093379138869593,200.0
1579093379252219281,208.0
1579093379362292093,209.0
1579093379479157458,218.0
1579093379596205947,229.0
1579093379704579749,220.0
1579093379816076416,210.0
1579093379925373082,211.0
1579093380046977405,216.0
1579093380151586937,208.0
1579093380259612978,213.0
1579093380380676936,208.0
1579093380487364332,199.0
1579093380598945478,204.0
1579093380714474749,189.0
1579093380822650113,213.0
1579093380933554228,198.0
1579093381046329020,194.0
1579093381154207874,204.0
1579093381260062613,205.0
1579093381368047821,194.0
1579093381480621571,198.0
1579093381661207248,207.0
1579093381704340321,192.0
1579093383616333185,195.0
1579093383616457664,185.0
1579093383616584487,201.0
1579093383616706779,209.0
1579093383616833237,212.0
1579093383616960425,186.0
1579093383617082404,206.0
1579093383623251727,201.0
1579093383623390841,207.0
1579093383623537508,212.0
1579093383627336362,217.0
1579093383627465164,218.0
1579093383627802821,212.0
1579093383627930998,214.0
1579093383628068498,218.0
1579093383628195581,217.0
1579093383628320321,230.0
1579093383722634487,228.0
1579093383834998758,225.0
1579093383943978393,223.0
1579093384058947352,235.0
1579093384175369695,246.0
1579093384283737768,241.0
1579093384400297768,243.0
1579093384512334799,244.0
1579093384623155789,251.0
1579093384731548758,246.0
1579093384846096101,240.0
1579093384952886726,231.0
1579093385067058601,241.0
1579093385179353862,246.0
1579093385297370424,248.0
1579093385409405580,252.0
1579093385524046205,258.0
1579093385636668862,257.0
