%time,field.data
1579093301566662123,330.0
1579093301682795769,330.0
1579093301798403685,330.0
1579093301909942800,330.0
1579093302020724570,330.0
1579093302134798633,330.0
1579093302248726654,330.0
1579093302355779102,330.0
1579093302464236341,330.0
1579093302576193841,330.0
1579093302688418581,330.0
1579093302797449101,330.0
1579093302912143476,330.0
1579093303026445508,330.0
1579093303139457122,330.0
1579093303250287278,330.0
1579093303359107799,330.0
1579093303473776653,330.0
1579093303586522903,329.0
1579093303703179309,329.0
1579093303816072278,330.0
1579093303925220976,331.0
1579093304039497070,332.0
1579093304151430507,332.0
1579093304271497070,331.0
1579093304381896132,330.0
1579093304491293840,333.0
1579093304603757903,334.0
1579093304716863632,337.0
1579093304830155976,332.0
1579093304941841184,332.0
1579093305058007121,331.0
1579093305181095403,331.0
1579093305280649882,327.0
1579093305393746913,327.0
1579093305517722277,335.0
1579093305620559673,323.0
1579093305735467902,320.0
1579093305845562746,331.0
1579093305954585090,329.0
1579093306071520975,324.0
1579093306179625611,324.0
1579093306295044829,318.0
1579093306410260663,317.0
1579093306520495038,326.0
1579093306636974308,329.0
1579093306750331392,330.0
1579093306860694360,330.0
1579093306971306600,330.0
1579093307084736496,320.0
1579093307219291444,325.0
1579093307331193266,333.0
1579093307440754048,328.0
1579093307555918839,337.0
1579093307666236131,331.0
1579093307786324516,336.0
1579093307893682902,336.0
1579093308006711027,342.0
1579093308121270454,339.0
1579093308240163058,334.0
1579093308354244724,334.0
1579093308466261964,339.0
1579093308581240297,338.0
1579093308691253735,337.0
1579093308805624099,347.0
1579093308920293005,351.0
1579093309031431495,353.0
1579093309143479151,348.0
1579093309260185766,347.0
1579093309368305193,349.0
1579093309476517797,347.0
1579093309590185609,346.0
1579093309703479568,356.0
1579093309816575870,355.0
1579093309926807224,357.0
1579093310041362484,10.0
1579093310160216755,10.0
1579093310272979619,10.0
1579093310382249515,17.0
1579093310495879984,14.0
1579093310616672588,14.0
1579093310732799515,23.0
1579093310839893578,16.0
1579093310953165713,17.0
1579093311064493161,20.0
1579093311175671234,15.0
1579093311285368161,19.0
1579093311404769150,25.0
1579093311510086859,24.0
1579093311628668629,33.0
1579093311739188004,30.0
1579093311852390140,42.0
1579093312080373994,38.0
1579093312085402223,46.0
1579093312186526910,47.0
1579093312303053317,53.0
1579093312410704827,55.0
1579093312530096389,58.0
1579093312635518421,52.0
1579093312747390035,57.0
1579093312861221910,57.0
1579093312973892900,54.0
1579093313084089202,53.0
1579093313197007483,63.0
1579093313312730400,68.0
1579093313424081337,71.0
1579093313541713108,78.0
1579093313650676129,71.0
1579093313763822483,77.0
1579093313878983472,81.0
1579093313990494878,68.0
1579093314099705868,90.0
1579093314213076597,97.0
1579093314325634410,98.0
1579093314441479045,83.0
1579093314560981024,76.0
1579093314668742430,89.0
1579093314777309826,75.0
1579093314896167014,69.0
1579093315009429253,62.0
1579093315120718420,75.0
1579093315232585815,68.0
1579093315342570815,61.0
1579093315456904201,68.0
1579093315569789982,58.0
1579093315687640399,61.0
1579093315794518524,67.0
1579093315909976701,69.0
1579093316020184044,75.0
1579093316132899878,68.0
1579093316239957846,78.0
1579093316352206023,89.0
1579093316463095450,75.0
1579093316577783367,98.0
1579093316689524929,89.0
1579093316804047898,90.0
1579093316915589825,90.0
1579093317029549721,94.0
1579093317145184200,97.0
1579093317256653315,94.0
1579093317375112117,122.0
1579093317483837065,108.0
1579093317593118575,104.0
1579093317707462065,120.0
1579093317824595242,102.0
1579093317934169773,127.0
1579093318048803887,149.0
1579093318165741491,138.0
1579093318275850137,134.0
1579093318384504825,139.0
1579093318496268835,155.0
1579093318613428158,158.0
1579093318724083210,157.0
1579093319392195710,179.0
1579093319392324043,179.0
1579093319392453887,170.0
1579093319392582220,194.0
1579093319392706178,183.0
1579093319408497324,190.0
1579093319514051335,202.0
1579093319623709408,200.0
1579093319736320137,197.0
1579093319848865918,214.0
1579093319960968418,213.0
1579093320068111282,213.0
1579093320187130084,219.0
1579093320302207116,222.0
1579093320413312376,230.0
1579093320525872741,226.0
1579093320637351803,229.0
1579093320746938261,232.0
1579093320863180865,237.0
1579093320970349824,248.0
1579093321089500084,249.0
1579093321193385344,250.0
1579093321326559199,242.0
1579093321435871021,252.0
1579093321549668365,239.0
1579093321661246855,236.0
1579093321780181750,237.0
1579093321900248209,243.0
1579093322006354302,248.0
1579093322117231959,255.0
1579093322225887115,255.0
1579093322337121594,260.0
1579093322451121646,249.0
1579093322566694771,252.0
1579093322677561906,249.0
1579093322791054667,250.0
1579093322906721490,244.0
1579093323020778312,255.0
1579093323124154875,259.0
1579093323233122114,264.0
1579093323351733521,259.0
1579093323465026021,260.0
1579093323577323469,253.0
1579093323691867635,259.0
1579093323814823677,259.0
1579093323919606906,261.0
1579093324036868312,273.0
1579093324144699666,275.0
1579093324263080760,272.0
1579093324375357322,267.0
1579093324487105812,269.0
1579093324600344770,272.0
1579093324716111801,273.0
1579093324829099666,265.0
1579093324942789093,275.0
1579093325054806489,274.0
1579093325168026333,270.0
1579093325279778832,274.0
1579093325392967062,268.0
1579093325508756072,264.0
1579093325622535968,274.0
1579093325740356801,276.0
1579093325846962218,287.0
1579093325958206072,285.0
1579093326071429405,287.0
1579093326180203884,289.0
1579093326303125499,294.0
1579093326404978363,296.0
1579093326524878259,301.0
1579093326643284978,303.0
1579093326740123780,303.0
1579093326856663571,302.0
1579093326963535603,301.0
1579093327082205290,302.0
1579093327349375290,304.0
1579093327349521748,306.0
1579093327410646905,304.0
1579093327525540811,311.0
1579093327638245446,313.0
1579093327747182321,319.0
1579093327862303311,311.0
1579093327983666592,315.0
1579093328083961019,312.0
1579093328200535967,311.0
1579093328309451123,310.0
1579093328424947321,314.0
1579093328533733258,319.0
1579093328649180706,322.0
1579093328762680133,324.0
1579093328877479560,324.0
1579093328990928623,325.0
1579093329107213987,326.0
1579093329215668571,325.0
1579093329339679560,325.0
1579093329442202216,326.0
1579093329566754977,326.0
1579093329673066227,326.0
