%time,field.data
1576772427748369923,246.0
1576772427748553464,253.0
1576772427859822527,252.0
1576772427859996850,253.0
1576772427860129975,257.0
1576772427860257110,252.0
1576772427968932058,240.0
1576772428082282214,231.0
1576772428193012943,228.0
1576772428307536537,231.0
1576772428421666849,231.0
1576772428528525339,230.0
1576772428641752370,231.0
1576772429323184401,232.0
1576772429323378620,229.0
1576772429323534870,223.0
1576772429323689870,219.0
1576772429333041589,220.0
1576772429334284245,221.0
1576772429416420130,219.0
1576772429527945599,218.0
1576772429640208151,221.0
1576772429751940859,223.0
1576772429863947786,220.0
1576772429974818672,219.0
1576772430085483724,217.0
1576772430207967682,199.0
1576772430333436432,191.0
1576772430421583099,190.0
1576772430533669609,190.0
1576772430662052838,192.0
1576772430757826744,194.0
1576772430870309453,195.0
1576772430981909609,196.0
1576772431099586796,198.0
1576772431213503046,197.0
1576772431328547213,194.0
1576772431436112473,193.0
1576772431583229765,192.0
1576772431663455129,193.0
1576772431776750598,194.0
1576772431892250129,194.0
1576772432237603983,194.0
1576772432237902421,196.0
1576772432238050806,201.0
1576772432366843202,208.0
1576772432464998358,179.0
1576772432581205650,185.0
1576772432687519608,185.0
1576772432801101275,188.0
1576772432923449296,169.0
1576772433048891743,168.0
1576772433164294764,161.0
1576772433273312212,147.0
1576772433396410337,157.0
1576772433503728202,156.0
1576772433617492160,159.0
1576772433733221379,137.0
1576772433858457889,142.0
1576772433957191847,146.0
1576772434073046222,150.0
1576772434185978514,145.0
1576772434298835441,140.0
1576772434408393566,126.0
1576772434521060545,123.0
1576772434640799243,140.0
1576772434754089607,130.0
1576772434865908774,123.0
1576772434987979920,121.0
1576772435094846691,122.0
1576772435208747211,111.0
1576772435335908409,115.0
1576772435456875024,119.0
1576772435572991690,105.0
1576772435687428982,102.0
1576772435798153670,96.0
1576772435913371117,98.0
1576772436029113149,103.0
1576772436135210284,104.0
1576772436258127263,102.0
1576772436371091638,100.0
1576772436469872992,93.0
1576772436600935596,87.0
1576772436718867211,92.0
1576772436836587055,92.0
1576772436939616898,85.0
1576772437059571169,84.0
1576772437177478877,92.0
1576772437303012106,92.0
1576772437409714711,96.0
1576772437518688513,93.0
1576772437637577158,98.0
1576772437743713304,93.0
1576772437859174450,91.0
1576772437973513252,98.0
1576772438092500752,101.0
1576772438200685492,94.0
1576772438313659919,103.0
1576772438426551377,91.0
1576772438538545856,93.0
1576772438648510596,84.0
1576772438761604762,107.0
1576772438878089293,120.0
1576772438997068408,119.0
1576772439105214241,116.0
1576772439222750960,114.0
1576772439345421481,111.0
1576772439458991637,128.0
1576772439565796012,126.0
1576772439686737731,141.0
1576772439803113199,135.0
1576772439914516428,150.0
1576772440036512522,143.0
1576772440148681532,146.0
1576772440265068303,150.0
1576772440590640439,137.0
1576772440595216532,146.0
1576772440611743043,170.0
1576772440727813876,164.0
1576772440839753199,174.0
1576772440950644813,180.0
1576772441065804032,181.0
1576772441180508199,192.0
1576772441291857834,184.0
1576772441413967001,181.0
1576772441523816897,193.0
1576772441636216480,199.0
1576772441756593928,198.0
1576772441872182469,181.0
1576772441987645750,193.0
1576772442091557834,198.0
1576772442211873719,197.0
1576772442323133302,205.0
1576772442436068511,214.0
1576772442559065959,217.0
1576772442668864084,211.0
1576772442793992261,214.0
1576772442901780698,224.0
1576772443018003198,221.0
1576772443122626896,207.0
1576772443228511010,221.0
1576772443335110646,228.0
1576772443440095437,231.0
1576772443543631687,232.0
1576772443657074656,225.0
1576772443778634344,224.0
1576772443892065125,226.0
1576772443998647885,227.0
1576772444115993666,229.0
1576772444337597156,232.0
1576772444360692677,238.0
1576772444448600125,229.0
1576772444560985020,235.0
1576772444672345177,224.0
1576772444784299552,222.0
1576772444897858093,222.0
1576772445012424916,227.0
1576772445124306426,222.0
1576772445237106478,214.0
1576772445350966426,219.0
1576772445476341010,223.0
1576772445587509968,213.0
1576772445698723197,209.0
1576772445808922468,200.0
1576772445923681582,214.0
1576772446035976947,204.0
1576772446146680593,206.0
1576772446263087520,212.0
1576772446373992155,212.0
1576772446491324863,204.0
1576772446604791478,203.0
1576772446718295905,206.0
1576772446822752884,208.0
1576772446939673092,199.0
1576772447045925124,200.0
1576772447160039863,198.0
1576772447280306165,201.0
1576772447392683717,197.0
1576772447501068665,194.0
1576772447609601946,196.0
1576772447719989238,198.0
1576772447841080540,200.0
1576772447962298977,202.0
1576772448073224759,202.0
1576772448191237467,202.0
1576772448304145540,197.0
1576772448433580852,190.0
1576772448533730748,190.0
1576772448644210800,190.0
1576772448761937467,191.0
1576772448873761685,192.0
1576772448974167310,192.0
1576772449086322519,192.0
1576772449206448925,191.0
1576772449322884602,191.0
1576772449444126685,189.0
1576772449554005123,188.0
1576772449666352779,188.0
1576772449775631685,188.0
1576772449893802050,188.0
1576772449999335539,189.0
1576772450112796997,189.0
1576772450225279914,189.0
1576772450333746164,190.0
1576772450439114029,190.0
1576772450548304601,190.0
1576772450661982206,189.0
1576772450779047570,189.0
1576772450898379185,189.0
1576772451025244393,189.0
1576772451147686789,189.0
1576772451242900643,189.0
1576772451360645018,189.0
1576772451465423143,189.0
1576772451582429653,189.0
1576772451698295070,189.0
1576772451812762153,189.0
1576772451932803872,190.0
1576772452044325017,190.0
1576772452156355434,189.0
1576772452268709080,189.0
1576772452390071372,189.0
1576772452497658299,189.0
1576772452604846267,189.0
1576772452725654028,190.0
1576772452836956059,189.0
1576772452943580434,188.0
1576772453058855642,188.0
1576772453183646319,191.0
1576772453290898455,193.0
1576772453419367569,198.0
1576772453527426996,192.0
1576772453646586475,176.0
1576772453750017673,181.0
1576772453988261371,169.0
1576772454012359340,176.0
1576772454095930746,159.0
1576772454214170902,142.0
